# real space correlation function weights for w in Fourier space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# ell      W(ell)
1.000000000000000000e+00 9.995847457828198612e-01
1.000115137033713353e+00 9.995846501658144367e-01
1.000230287323963241e+00 9.995845545267945109e-01
1.000345450872275777e+00 9.995844588657547547e-01
1.000460627680177739e+00 9.995843631826910602e-01
1.000575817749195906e+00 9.995842674775972103e-01
1.000691021080856835e+00 9.995841717504690971e-01
1.000806237676687527e+00 9.995840760013011694e-01
1.000921467538215426e+00 9.995839802300877652e-01
1.001036710666967755e+00 9.995838844368253318e-01
1.001151967064471959e+00 9.995837886215075407e-01
1.001267236732256150e+00 9.995836927841301733e-01
1.001382519671847771e+00 9.995835969246871233e-01
1.001497815884775155e+00 9.995835010431739498e-01
1.001613125372566415e+00 9.995834051395853237e-01
1.001728448136750105e+00 9.995833092139161380e-01
1.001843784178854779e+00 9.995832132661619518e-01
1.001959133500409216e+00 9.995831172963173250e-01
1.002074496102942414e+00 9.995830213043765955e-01
1.002189871987983594e+00 9.995829252903355444e-01
1.002305261157061755e+00 9.995828292541883986e-01
1.002420663611706564e+00 9.995827331959306061e-01
1.002536079353447684e+00 9.995826371155563939e-01
1.002651508383815004e+00 9.995825410130614319e-01
1.002766950704338633e+00 9.995824448884400582e-01
1.002882406316548458e+00 9.995823487416874986e-01
1.002997875221974811e+00 9.995822525727993124e-01
1.003113357422148688e+00 9.995821563817681721e-01
1.003228852918600422e+00 9.995820601685915241e-01
1.003344361712861232e+00 9.995819639332624851e-01
1.003459883806461672e+00 9.995818676757773913e-01
1.003575419200933405e+00 9.995817713961302475e-01
1.003690967897807873e+00 9.995816750943165019e-01
1.003806529898616517e+00 9.995815787703304922e-01
1.003922105204891002e+00 9.995814824241672225e-01
1.004037693818163435e+00 9.995813860558219188e-01
1.004153295739966145e+00 9.995812896652886970e-01
1.004268910971831019e+00 9.995811932525632271e-01
1.004384539515290831e+00 9.995810968176404021e-01
1.004500181371878131e+00 9.995810003605144489e-01
1.004615836543125695e+00 9.995809038811809266e-01
1.004731505030566741e+00 9.995808073796350612e-01
1.004847186835734263e+00 9.995807108558707466e-01
1.004962881960161702e+00 9.995806143098829866e-01
1.005078590405382499e+00 9.995805177416674514e-01
1.005194312172930537e+00 9.995804211512182569e-01
1.005310047264339479e+00 9.995803245385304070e-01
1.005425795681143875e+00 9.995802279035992388e-01
1.005541557424877386e+00 9.995801312464190902e-01
1.005657332497074785e+00 9.995800345669850762e-01
1.005773120899270401e+00 9.995799378652924227e-01
1.005888922632999449e+00 9.995798411413363560e-01
1.006004737699796259e+00 9.995797443951095484e-01
1.006120566101196712e+00 9.995796476266094466e-01
1.006236407838735580e+00 9.995795508358296111e-01
1.006352262913948303e+00 9.995794540227649350e-01
1.006468131328370985e+00 9.995793571874108663e-01
1.006584013083539064e+00 9.995792603297619650e-01
1.006699908180988645e+00 9.995791634498119027e-01
1.006815816622256055e+00 9.995790665475580150e-01
1.006931738408877619e+00 9.995789696229931964e-01
1.007047673542389887e+00 9.995788726761131171e-01
1.007163622024329408e+00 9.995787757069132251e-01
1.007279583856233174e+00 9.995786787153867481e-01
1.007395559039638400e+00 9.995785817015301333e-01
1.007511547576082078e+00 9.995784846653369415e-01
1.007627549467101868e+00 9.995783876068031759e-01
1.007743564714235429e+00 9.995782905259228412e-01
1.007859593319020197e+00 9.995781934226913856e-01
1.007975635282994498e+00 9.995780962971029249e-01
1.008091690607696211e+00 9.995779991491532401e-01
1.008207759294663886e+00 9.995779019788366693e-01
1.008323841345435845e+00 9.995778047861482163e-01
1.008439936761550637e+00 9.995777075710819970e-01
1.008556045544547475e+00 9.995776103336346807e-01
1.008672167695965127e+00 9.995775130737992731e-01
1.008788303217342808e+00 9.995774157915711111e-01
1.008904452110219951e+00 9.995773184869449768e-01
1.009020614376135994e+00 9.995772211599168733e-01
1.009136790016630814e+00 9.995771238104804723e-01
1.009252979033244291e+00 9.995770264386303339e-01
1.009369181427516526e+00 9.995769290443622390e-01
1.009485397200987622e+00 9.995768316276707477e-01
1.009601626355198345e+00 9.995767341885498647e-01
1.009717868891689019e+00 9.995766367269964814e-01
1.009834124812000411e+00 9.995765392430032703e-01
1.009950394117673733e+00 9.995764417365661236e-01
1.010066676810249975e+00 9.995763442076790461e-01
1.010182972891270570e+00 9.995762466563375970e-01
1.010299282362276951e+00 9.995761490825367801e-01
1.010415605224810776e+00 9.995760514862710444e-01
1.010531941480414142e+00 9.995759538675353939e-01
1.010648291130628706e+00 9.995758562263246105e-01
1.010764654176996791e+00 9.995757585626334762e-01
1.010881030621061161e+00 9.995756608764565510e-01
1.010997420464363916e+00 9.995755631677892827e-01
1.011113823708447823e+00 9.995754654366261205e-01
1.011230240354856091e+00 9.995753676829616241e-01
1.011346670405131931e+00 9.995752699067907976e-01
1.011463113860818108e+00 9.995751721081088670e-01
1.011579570723458499e+00 9.995750742869101702e-01
1.011696040994596535e+00 9.995749764431893780e-01
1.011812524675776093e+00 9.995748785769418276e-01
1.011929021768541270e+00 9.995747806881626341e-01
1.012045532274436166e+00 9.995746827768452469e-01
1.012162056195004878e+00 9.995745848429855585e-01
1.012278593531792392e+00 9.995744868865786836e-01
1.012395144286343029e+00 9.995743889076189603e-01
1.012511708460201998e+00 9.995742909061003934e-01
1.012628286054914062e+00 9.995741928820188749e-01
1.012744877072024652e+00 9.995740948353694089e-01
1.012861481513078976e+00 9.995739967661451120e-01
1.012978099379622909e+00 9.995738986743422094e-01
1.013094730673202104e+00 9.995738005599559273e-01
1.013211375395362435e+00 9.995737024229798262e-01
1.013328033547649998e+00 9.995736042634099094e-01
1.013444705131611112e+00 9.995735060812394046e-01
1.013561390148792540e+00 9.995734078764647590e-01
1.013678088600740601e+00 9.995733096490799774e-01
1.013794800489002057e+00 9.995732113990795087e-01
1.013911525815124337e+00 9.995731131264588010e-01
1.014028264580654426e+00 9.995730148312123031e-01
1.014145016787139753e+00 9.995729165133347971e-01
1.014261782436127746e+00 9.995728181728212869e-01
1.014378561529166278e+00 9.995727198096663324e-01
1.014495354067803001e+00 9.995726214238651597e-01
1.014612160053586232e+00 9.995725230154117735e-01
1.014728979488064287e+00 9.995724245843018441e-01
1.014845812372785483e+00 9.995723261305301532e-01
1.014962658709298582e+00 9.995722276540902618e-01
1.015079518499152123e+00 9.995721291549781728e-01
1.015196391743895088e+00 9.995720306331877802e-01
1.015313278445076905e+00 9.995719320887145320e-01
1.015430178604246780e+00 9.995718335215536543e-01
1.015547092222954362e+00 9.995717349316982636e-01
1.015664019302749077e+00 9.995716363191448073e-01
1.015780959845181020e+00 9.995715376838877342e-01
1.015897913851799839e+00 9.995714390259202720e-01
1.016014881324156294e+00 9.995713403452399781e-01
1.016131862263800700e+00 9.995712416418388591e-01
1.016248856672283152e+00 9.995711429157133621e-01
1.016365864551155074e+00 9.995710441668578250e-01
1.016482885901966782e+00 9.995709453952666967e-01
1.016599920726269923e+00 9.995708466009349813e-01
1.016716969025615480e+00 9.995707477838581267e-01
1.016834030801555100e+00 9.995706489440296938e-01
1.016951106055640430e+00 9.995705500814447975e-01
1.017068194789423119e+00 9.995704511960986638e-01
1.017185297004455258e+00 9.995703522879864078e-01
1.017302412702289161e+00 9.995702533571018122e-01
1.017419541884477141e+00 9.995701544034397701e-01
1.017536684552571513e+00 9.995700554269949523e-01
1.017653840708125479e+00 9.995699564277629179e-01
1.017771010352691574e+00 9.995698574057377828e-01
1.017888193487823001e+00 9.995697583609145509e-01
1.018005390115072961e+00 9.995696592932876712e-01
1.018122600235994879e+00 9.995695602028522586e-01
1.018239823852142623e+00 9.995694610896035392e-01
1.018357060965069616e+00 9.995693619535349628e-01
1.018474311576330171e+00 9.995692627946417552e-01
1.018591575687478157e+00 9.995691636129190316e-01
1.018708853300068329e+00 9.995690644083610188e-01
1.018826144415654777e+00 9.995689651809634979e-01
1.018943449035792259e+00 9.995688659307202517e-01
1.019060767162035752e+00 9.995687666576258401e-01
1.019178098795940457e+00 9.995686673616758222e-01
1.019295443939061352e+00 9.995685680428644249e-01
1.019412802592954082e+00 9.995684687011867631e-01
1.019530174759173846e+00 9.995683693366373967e-01
1.019647560439276957e+00 9.995682699492112189e-01
1.019764959634818835e+00 9.995681705389019012e-01
1.019882372347356014e+00 9.995680711057055579e-01
1.019999798578444583e+00 9.995679716496164158e-01
1.020117238329641074e+00 9.995678721706287018e-01
1.020234691602502020e+00 9.995677726687378639e-01
1.020352158398584619e+00 9.995676731439384621e-01
1.020469638719445626e+00 9.995675735962253894e-01
1.020587132566642241e+00 9.995674740255924284e-01
1.020704639941731884e+00 9.995673744320354714e-01
1.020822160846272197e+00 9.995672748155488563e-01
1.020939695281820825e+00 9.995671751761270318e-01
1.021057243249935853e+00 9.995670755137652241e-01
1.021174804752175147e+00 9.995669758284574380e-01
1.021292379790097016e+00 9.995668761201990105e-01
1.021409968365259990e+00 9.995667763889840574e-01
1.021527570479222824e+00 9.995666766348081378e-01
1.021645186133544048e+00 9.995665768576648125e-01
1.021762815329783081e+00 9.995664770575503066e-01
1.021880458069498676e+00 9.995663772344580700e-01
1.021998114354250253e+00 9.995662773883834396e-01
1.022115784185597676e+00 9.995661775193206422e-01
